date,venue,city,state,category,etree_comments,ia_sources
1983-02-01,Stone House Studio,Novato,CA,Rehearsal,Rehearsal Session\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nBrent Mydland - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums,"[""http://www.archive.org/details/gd83-02-01.sbd.miller.21266.sbeok.shnf""]"
1983-02-06,Stone House Studio,Novato,CA,Rehearsal,Rehearsal Session\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nBrent Mydland - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums,"[""http://www.archive.org/details/gd83-02-06.sbd.miller.21270.sbeok.shnf""]"
1983-03-14,Club Front - Rehearsals,San Rafael,CA,Rehearsal,Rehearsal Session\n\nJerry Garcia - Guitar\nBob Weir - Guitar\nBrent Mydland - Keyboards\nPhil Lesh - Bass\nBill Kreutzmann - Drums\nMickey Hart - Drums,"[""http://www.archive.org/details/gd83-03-14.sbd.miller.21269.sbeok.shnf""]"
1984-02-21,Arista Studio,San Rafael,CA,Rehearsal,"Rehearsals for the ""In The Dark"" album",[]
1984-02-25,Studio Demos,Studio,CA,,Bob Weir - Guitar\nPhil Lesh - Bass\nLinn Drum Machine,[]
1984-12-18,Studio,Studio,CA,Rehearsal,"12/18/84 GD Rehearsal\n\n\nThis was part of the KPFA Marathon broadcast on 2/22/2003 by David Gans\n\nIf you get these SHNs, please make a donation to KPFA:\n\n\nKPFA\n\n1929 Martin Luther King, Jr. Way\n\nBerkeley CA 94704 \n\n*OR* \n\nyou can pledge online at www.kpfa.org\n\n\n",[]
1987-07-14,Compilation,Compiliation,Unknown,,,[]
1987-08-08,MTV's Day Of The Dead,Various,Various,,"A day-long salute to the Grateful Dead on MTV, which\n\nwas playing Touch of Grey heavily in it's rotation\n\nat the time.  Many believe this was the beggining of\n\nthe end for the Grateful Dead.\n\n\nFrom ""Skeleton Key - A Dictionary For Deadheads"" -\n\nThe success of ""A Touch of Grey"" is often cited for\n\nthe influx of younger Heads onto the scene (though\n\nSteve Marcus believes it was MTV's ""Day of the Dead"").\n\n\n""They kept cutting into the parking lot scene at \n\nGiants Stadium, saying, ""Cool, dude, what a party!"" \n\nAnd a whole shitload of folks came in to party.  \n\nThey didn't even know who the Dead were. You'd see\n\na lot of people in leather with metal studs and \n\npointed hair,'cause it was ""Grateful Dead"" - sounds\n\nlike a metal band!  They didn't have a clue.  \n\nAnd a lot of the younger ones just didn't have Deadhead\n\netiquette.  When I started working for the Dead in 1983,\n\nthe median age group was twenty-seven years old.  \n\nBy late 1987, it was down to about eighteen.  That's \n\na hell of a jump.  But it's their band too."" - Steve Marcus\n\n\nHere then, is MTV's ""Day of the Dead"".  All blatantly\n\nofficial segments have been removed.\n\n\nDisc 1: MTV Day Of The Dead (22:41)\n\n\nHosts: Julie Brown, China Kantner, Kevin Seal\n\nReporters: Carolyne Heldman, Rich Shydner\n\nWith a cast of thousands, including:\n\nJerry Garcia\n\nMickey Hart\n\nThe Deadheads\n\n\n\nDisc 2: Dead On - The Grateful Dead Alive In The 80's (26:06)\n\n\nSpecial MTV documentary with appearances by:\n\nJerry Garcia, Bob Weir, Bill Kreutzmann, Mickey Hart,\n\nDan Healy, Les Kippel, Toni Brown, Jacaeber Kastor,\n\nBill Graham, Peter Martin, Stanley Mouse, Rick Griffin,",[]
1987-09-14,Unknown,New York,NY,,"This press conference centers on the video project ""So Far"", but strays into other interesting topics.  \n\nGrateful Dead publicist Dennis McNally introduces the panel - Jerry Garcia, Bob Weir, Len Dell'Amico, and Clive Davis.",[]
1990-08-28,Club Front,San Rafael,CA,Rehearsal,"Vince Welnick's First Rehearsal, Not The Full Band","[""http://www.archive.org/details/gd1990-08-28.156714.sbd.miller.flac2496"", ""http://www.archive.org/details/gd1990-08-28.157161.sbd.rehearsals.cm.miller.t.flac1644""]"
1990-09-26,Club Front Studio,San Rafael,CA,Rehearsal,Europe 90 Rehearsal,"[""http://www.archive.org/details/gd1990-09-26.157660.sbd.miller.flac16""]"
1990-09-27,Club Front,San Rafael,CA,Rehearsal,Europe 90 Rehearsal,"[""http://www.archive.org/details/gd1990-09-27.157661.sbd.miller.flac16""]"
1990-09-28,Front Street,San Rafael,CA,Rehearsal,"Rehearsal with Bruce Hornsby for upcoming European tour, multiple takes per song","[""http://www.archive.org/details/gd90-09-28.sbd.jeffm.13531.sbeok.shnf"", ""http://www.archive.org/details/gd1990-09-28.157662.sbd.miller.flac16""]"
1992-02-13,Club Front,San Rafael,CA,Rehearsal,Rehearsal. (See 2/21/92. The songlist are identical. Only 1 version of So Many Roads is kept on the archive for the date 2/13/92. The rest are under the 2/21/92 date.This comment added on 4/16/05.),"[""http://www.archive.org/details/gd92-02-13.sbd.rehearsal.samaritano.17404.sbeok.shnf""]"
1993-02-13,Club Front,San Rafael,CA,,Rehersal,"[""http://www.archive.org/details/gd93-02-10.rehearsal.Samaritano.17435.sbeok.shnf""]"
1994-03-30_2,Liberty Video,Compilation,Compilation,,"The Justin Kreutzmann ""Liberty"" video is included on the DVD of ""View From the Vault II."" \nThe audio is from 30 March 1994 (the same as ""So Many Roads"" box set), though the video footage is from three different concerts.",[]
1995-03-17_2,The Spectrum (soundcheck),Philadelphia,PA,,Unbroken Chain soundcheck,"[""http://www.archive.org/details/gd1995-03-17.sndchk.fm.toland.1366.shnf"", ""http://www.archive.org/details/gd95-03-17.soundcheck.sbd.17951.sbeok.shnf""]"
